restaurant_code,rating,feeling,customerId,commentText
09mvl6,2,SAD,2954503,پیتزا سرد و بیات مونده برگر هم سرد
09mvl6,10,HAPPY,1561187,"حجم مناسب با کیفیت و تازه 
مرغ سوخاری کاملا ترد و داغ بود"
09mvl6,2,SAD,3699617,کیفیت غذا به شدت بد بود غذا مونده بود و سوخته و سرد
09mvl6,8,HAPPY,6600058,"غذا سرد رسید 
دونوع غذا سفارش داده بودیم روی بسته بندی اسم غذا رو ننوشته بودن"
09mvl6,6,HAPPY,8203030,طعم گوشت برگر خیلی بد بود
09mvl6,2,SAD,3003324,هرچقدر بسته بندی خوب بود خوده غذا اصلا خوب نبود و به نسبت قیمت زیاد کیفیت پایینی داشت غذا
09mvl6,8,HAPPY,228324,این مالیات چیه اضافه کردین واقعا کی این مالیات رو میپردازه بعد چرا بقیه ندارن همچین چیزی!!!!
09mvl6,10,HAPPY,4355248,عالی
09mvl6,6,HAPPY,238324,خيلي سرد بود پيتزا
09mvl6,2,SAD,11669912,حجم غذا نسبت به قیمت بسیار کم بود، سیب زمینی هم کیفیت معمولی داشت.
09mvl6,2,SAD,1465955,کیفیت گوشت بسیار پایین ،غضروف بود داخل گوشت برگر
09mvl6,8,HAPPY,3324118,من برگرلند سفارش داده بودم، به نظرم كيفيت هميشگي را نداشت، چون من در شعبات ديگه همين برگر را با كيفيت خيلي بهتر خورده بودم. سالاد هم خيلي كم محتوا بود، بيشتر كاهو داشت و با توجه به كيفيتش، قيمتش بالاتر بود.
09mvl6,4,SAD,7775148,سیب زمینی با سس مخصوص سفارش دادم که هیچ سسی نداشت اصلا که بخاد مخصوص باشه و پنیر پارمزان هم در حد یه بند انگشت روش بود؛ همراه برگر هم سس کچاپی ارسال نشده بود. در کل خیلی بی توجه بودن‌ ولی کیفیت برگر خوب بود
09mvl6,10,HAPPY,2623147,عالی ، عالی ، عالی ، یک پیتزا امریکایی واقعی بود. کلی پنیر پیتزا داشت که طعمش رو بی نظیر کرده
09mvl6,10,HAPPY,13695244,برگر خييييلي چرب بود و سس مخصوص كم زده شده بود
09mvl6,6,HAPPY,12706314,لند برگر گوشتش بو میداد.
09mvl6,4,SAD,5002155,چون غذا دیر به دستم رسید برگرها یخ کرده بودند و سیب زمینی هم خمیر شده بود
09mvl6,8,HAPPY,227880,سرد بور
09mvl6,6,HAPPY,7005648,هات داگ از شعب دیگه برگر لند گرفته بودم و خیلی خوب بود ولی اینجا مواد اولیه اش هم فرق داشت
09mvl6,2,SAD,6662953,بدترین و بی کیفیت ترین‌ پیتزایی که تا حالا خورده بودم
09mvl6,2,SAD,670124,غذا کاملا سرد بود و اصلا کیفیت رستوران های برگراند که قبلا صرف شده بود رو نداشت
09mvl6,10,HAPPY,128406,سپاس از پیک محترم و برگرلند، خرید از شما تجربه خوبی هست
09mvl6,2,SAD,715946,غذا اشتباه ارسال شده بود و متاسفانه تا ساعت ۳صبح مارو فقط حرس دادید!!!!
09mvl6,2,SAD,5783774,سرد و بی مزه بعد از یک ساعت تاخیر
09mvl6,4,SAD,3425847,خيلي سرد و سفت بود ،قطعا سفارش مجدد نخواهم داشت
09mvl6,8,HAPPY,252506,تقريبا سرد بودن
09mvl6,10,HAPPY,10413116,ممنونم خوشحالم که برگرلند به ستارخان هم امد
09mvl6,10,HAPPY,7166812,عالی بود
09mvl6,10,HAPPY,10413409,طعم و‌کیفیت عالی بود
09mvl6,10,HAPPY,729464,عالی بود
09mvl6,10,HAPPY,5323445,هم به موقع رسید هم کیفیتش عالی بود مچکرم
09mvl6,4,SAD,2801536,مگابرگر و سیب زمینی سرد بود و با توجه به قیمت کیفیت و طعم خوب نبود
09mvl6,10,HAPPY,1641164,کیفیت حوب بود
09mvl6,10,HAPPY,128406,سپاس عالی بود
09mvl6,10,HAPPY,798526,من پیتزا چهار فصل سفارش دادم. خیلی خوب بود . خیلی زود هم به دستم رسید. ممنون
09mvl6,8,HAPPY,7575088,سرد بود
09mvl6,6,HAPPY,4492450,و سرد بودن بیش از حد
09mvl6,10,HAPPY,6040744,عالی، گرم و لذیذ
09mvl6,10,HAPPY,4633764,عالی مثل همیشه
09mvl6,10,HAPPY,6744036,"برگر لند همیشه عالیه 
مخصوصاااااااا ماشروم برگر"
09mvl6,10,HAPPY,547283,"از همه نظر عالی بود 
فقط پیازها کاراملایزه نشده بودن ولی اینقدر خوب بود که قابل چشم پوشی بود"
09mvl6,10,HAPPY,4538685,بسیار عالی
09mvl6,2,SAD,11557336,
09mvl6,2,SAD,1662396,
09mvl6,2,SAD,7322831,كيفيت افتضاح برگر ولي سوخاري بهتر بود
09mvl6,4,SAD,145990,"به غیر از اینکه سرد به دستم رسید، روی نان سیر کاملا سوخته بود
چرا وقتی غذا همچین مشکل واضحی داره ارسال میشه؟"
09mvl6,2,SAD,5386242,غذا سرد و خمیری و نرم بدستم رسید ، همینطور سیب زمینی ها کاملا خمیر شده و فیله ها هیچ طعم و مزه ای نداشت
0mzd4r,8,HAPPY,3553980,کیفیت غذا بد نبود، پیک خیلی خوب بود، پکیجینگ هم بهتر شده
0mzd4r,10,HAPPY,7686586,"خیلی خوب
خیلی سریع هم رسید
درمجموع کاملا راضی بودم"
0mzd4r,8,HAPPY,4322979,سس قرمز نزاشته بودین
0mzd4r,2,SAD,279108,"خیلییییی کیفیت برگر پایین بود
"
0mzd4r,10,HAPPY,3656797,"منو یاد یه ساندویچ خوب خونگی انداخت 
خیلی بانمک بود"
0mzd4r,2,SAD,717806,بوی زهم بسیار بد و غیر قابل تحمل ، فاجعه غیر قابل خوردن بود ، ساعت ۱ شب بود و دیگه حوصله بحث نداشتم ، انداختم زباله
0mzd4r,8,HAPPY,4293331,نون پیتزا خیلی بی کیفیت بود
0mzd4r,4,SAD,8016150,نان سیر افتضاح بد طعم و اصلا توش هیچی نبود فقط یه خمیر بود و بس + همبرگر هم گوشت نپخته و بوی بشدت بد
0mzd4r,6,HAPPY,2043282,"خیلی سریع رسید 
سالاد کلمی که لای ساندویچ بود بوی موندگی میداد و کیفیت پایین
طعم بدی میداد"
0mzd4r,6,HAPPY,4355901,نسبت به قیمت حجم خیلی کمی داشت و فیله های روی پیتزا بوی زحم میداد
0mzd4r,6,HAPPY,3240251,قیمت بالا، کیفیت پایین! پپرونی بسیار ضعیف، قارچ ها مونده!
0mzd4r,10,HAPPY,6609708,عالی. مرسی
0mzd4r,2,SAD,9858671,"واقعا حیف پول که بابت غذای مونده پرداخت کردیم
مطمئن هستم موادش موندن بود"
0mzd4r,6,HAPPY,3754103,کیفیت و طعم خوب نبود
