restaurant_code,rating,feeling,commentText,customerId
37ovym,10,HAPPY,عالی مثله همیشه،فقط فلفل ها تند نیستن.ممنون,8276138
37ovym,2,SAD,من املت گوجه سفارش دادم اما املت رب برای من ارسال شد لطفا باقی پول من را پس بدهید.,407695
37ovym,6,HAPPY,نیمرو که همزده بود و بی مزه اولین بار بود نیمرو اینجوری می خوردم املت که بی مزه نه نمک داشت نه طعم داشت,260680
37ovym,10,HAPPY,غذا عالی خیلی خیلی خوشمزه بود و نان سنگک هم محشر,1250287
37ovym,10,HAPPY,عالی مثله همیشه،بر عکس یه سری که لازم باشه اسم میبرم. من از اینجا فوق العلاده راضی ام و خسته نباشی به کارکنان و مدیریت میگم.امیدوارم همیشه همینحور بمونه و ما مشتری همیشگی هستیم,8276138
37ovym,10,HAPPY,خوب بود فقط نارنج ارسالي زياد جالب نبود,3940422
37ovym,2,SAD,من املت گوجه سفارش دادم اما املت ربی برام فرستادن,407695
37ovym,10,HAPPY,خوب بود بوی بد هم نمیداد,5104378
37ovym,2,SAD,اسم سفارشم املت گوجه بود،ولی اینقدر رب داشت که فقط مزه رب داغ شده میداد.بعد از یه لقمه باقیشو نخوردم,8276138
37ovym,8,HAPPY,معمولی,2411045
37ovym,6,HAPPY,طعمش معمولی بود و چیز خاصی نبود اونطور که در کامنتها نوشتن,3576272
37ovym,6,HAPPY,مخلفات غذا ،سبزی ارسال نشده بوداملت باید بیشتر میپخت,1891378
37ovym,8,HAPPY,روغن زیاد داشت سیب زمینی نپخته بود و سفت بود,9861169
37ovym,4,SAD,حجم غذا کم بود ،دورچین ریحون و فلفلم نداشت جای لیمو نارنج بود,1891378
37ovym,6,HAPPY,کم بود :( قبلا زیاد تر بود,5372721
37ovym,2,SAD,غذا به شدت تند بود و قابل خوردن نبود,3388288
37ovym,8,HAPPY,"نوشابه یادشون رفت 
",6697159
37ovym,6,HAPPY,با سلام، علایمی بابت وجود پیاز و ریحان نبود، کلا دو تا فلفل کوچک سبز و یک عدد نارنج کوچک نصف شده داخل یک کیسه به نحوه ی نامناسبی بسته بندی شده بود، غذا هم بی نمک و مزه خاصی نداشت، سوسیس هم نپخته بود.با این مبلغ در فود پارتی هم نمی ارزد.,313659
37ovym,2,SAD,فکرکنماز این بدتر نمیشد تخم مرغ و سیب زمینی رو درست کرد ,216375
37ovym,8,HAPPY,حجمش برای دو نفر کم بود,1108785
37ovym,10,HAPPY,خ‌ب بود,1749202
37ovym,4,SAD,"اصلا خوشمزه نبود.
هم سیب زمینی و هم سوسیسش سوخته بود و فقط مزه روغن حس میشد.
با وجود این که کلی نمک هم زدیم باز هم قابل خوردن نبود.
اولین و آخرین بار بود که از اینجا سفارش دادم.",145194
37ovym,8,HAPPY,قارچ کم بود. کیفیت مناسب میباشد,759954
37ovym,8,HAPPY,یکم سوخته بود ولی خوب بود در کل,2475463
37ovym,8,HAPPY,از نظر قیمتی نسبت به بقیه رستوران ها اقتصادی و مناسب تره ، نون رو اگر بجای بربری  تافتپن و سنگک هم اضافه بشه خیلی بهتر میشه و در مورد سوسیس تخم اگر از قبل با حرارت کم سرخ بشه  که خوب پخته شده باشه عالی میشه،در کل خوب,7972904
